,a,b,cluster,name
0,33.922544490279705,26.585810896101442,9,abomasnow.png
1,-24.32651834496292,2.0778588905200617,8,abra.png
2,-0.21858195829623434,5.720123840860832,2,absol.png
3,0.05891860493867985,-12.230982079777439,6,accelgor.png
4,24.722576956385204,23.059744724382057,3,aerodactyl.png
5,65.82888979276531,-8.576154466145088,0,aggron.png
6,-21.458734068319053,5.140381759328308,6,aipom.png
7,23.321289283989994,8.525387948708971,3,alakazam.png
8,-16.861570722099703,9.562951197656478,6,alomomola.png
9,-8.747417470367584,19.031217645721647,6,altaria.png
10,29.276606205427058,19.799387028371054,3,ambipom.png
11,34.5160272255974,-18.156224366221753,0,amoonguss.png
12,-14.43009499296211,21.68892254044199,6,ampharos.png
13,-20.067001440498284,-12.143609459014458,8,anorith.png
14,40.35304430719428,-11.732543058295926,1,arbok.png
15,51.5694397177799,12.398246151212298,3,arcanine.png
16,15.937856620081337,14.813204363448612,3,arceus.png
17,-10.950744227052136,-3.430022721228857,8,archen.png
18,28.114878777336454,19.66484316784486,3,archeops.png
19,-8.44205880532114,-14.252390656388716,8,ariados.png
20,59.06537265852361,-4.323985774672735,9,armaldo.png
21,-42.37300429353208,10.400918629246988,5,aron.png
22,54.10311842347568,37.89866918436112,7,articuno.png
23,-10.913928584262296,-0.5256670224484398,6,audino.png
24,-30.999911818326307,-8.439421640050998,6,axew.png
25,-25.103600386405112,12.050641157827997,8,azelf.png
26,-0.8668840526918161,-1.31513089788106,6,azumarill.png
27,-20.773937999254443,-13.068042848068393,6,azurill.png
28,-31.93065923781198,3.4372038511905205,6,bagon.png
29,-40.79697121718352,9.947704438847738,5,baltoy.png
30,2.60376289878,-25.83342133921469,2,banette.png
31,-34.28081084733926,9.250960945408568,8,barboach.png
32,-26.32755029215274,-8.851117598553728,8,basculin.png
33,65.44394844432712,-13.95852006135362,0,bastiodon.png
34,-11.865393256724536,0.22151958887501527,6,bayleef.png
35,2.1627988226209154,31.453266372709418,3,beartic.png
36,2.9448289583063607,-9.066412188206932,2,beautifly.png
37,-2.0387052332958024,-5.080564623294253,2,beedrill.png
38,-5.0768293950457375,-8.817997550387801,6,beheeyem.png
39,-28.301356248267464,-7.335365242577978,8,beldum.png
40,-27.329349301301747,-11.343680955146409,6,bellossom.png
41,-35.486022855687224,5.219103133016797,5,bellsprout.png
42,43.32090020961909,-2.989429322687607,0,bibarel.png
43,-17.644645835409012,-14.3880103027296,8,bidoof.png
44,-0.7104550775480338,-7.967859832049131,1,bisharp.png
45,56.33182870092572,-5.780670934111078,0,blastoise.png
46,22.991565980165202,-8.939706447211323,1,blaziken.png
47,3.2689675119261654,-9.629187216284445,2,blissey.png
48,-9.300976247020445,-7.168490530155875,6,blitzle.png
49,28.56131415031447,-37.70362029374116,0,boldore.png
50,-30.844518910096234,-1.754438142910544,6,bonsly.png
51,36.31168029172608,-28.946369409158866,0,bouffalant.png
52,82.2196231532177,25.38939456632907,7,braviary.png
53,-2.019134438959552,1.5488508808589123,6,breloom.png
54,26.548345400915796,-11.809877491068331,0,bronzong.png
55,-32.81245384873204,-11.406313966724667,8,bronzor.png
56,-41.47944438848277,12.482720890337433,5,budew.png
57,-27.57796357293948,0.6201001580345578,6,buizel.png
58,-35.642920619974646,1.9927710389791478,8,bulbasaur.png
59,-29.432683587275122,8.563122406617829,6,buneary.png
60,-40.01615717763592,7.6308315502928785,5,burmy.png
61,13.379252919740637,-10.4012174221757,3,butterfree.png
62,-22.78290854027258,-5.2064269644120795,8,cacnea.png
63,6.497501460168151,7.331952839737479,1,cacturne.png
64,55.093141456614596,4.050154482934113,4,camerupt.png
65,26.116334763866,-2.8155774710343304,3,carnivine.png
66,51.44096864788211,-21.57315168818624,0,carracosta.png
67,-22.347035115901214,-15.520157932037863,8,carvanha.png
68,-33.58261456358494,11.541855954616711,8,cascoon.png
69,-47.84436732420216,24.87771348564486,5,castform.png
